forward add_edges KSP-4 0 50121725.724825 [(8, 9)]
forward add_edges KSP-4 0 35037426.90797501 [(7, 12)]
forward add_edges KSP-4 0 50739491.36959501 [(3, 11)]
forward add_edges KSP-4 0 45324989.419825 [(2, 10)]
forward add_edges KSP-4 0 50140277.046045005 [(3, 7)]
forward add_edges KSP-4 0 50205286.229985 [(7, 10)]
forward add_edges KSP-4 0 45324989.419824995 [(5, 11)]
forward add_edges KSP-4 0 51257620.69828499 [(1, 7)]
forward add_edges KSP-4 0 48524667.77064 [(4, 12)]
forward add_edges KSP-4 0 50140277.046045005 [(4, 6)]
forward add_edges KSP-4 0 45324989.419825 [(1, 10)]
forward add_edges KSP-4 0 91700497.9699337 [(2, 7)]
forward add_edges KSP-4 0 30876701.436155 [(3, 12)]
forward add_edges KSP-4 0 50140277.04604499 [(3, 5)]
forward add_edges KSP-4 0 31247614.852654994 [(2, 12)]
forward add_edges KSP-4 0 50205286.229985 [(5, 7)]
forward add_edges KSP-4 0 36280760.60919 [(6, 12)]
forward add_edges KSP-4 0 51431825.837895 [(1, 8)]
forward add_edges KSP-4 0 51042215.44682999 [(2, 8)]
forward add_edges KSP-4 0 46523168.024125 [(2, 9)]
forward add_edges KSP-4 0 45324989.419825 [(1, 11)]
forward add_edges KSP-4 0 31247614.852654994 [(1, 12)]
forward add_edges KSP-4 0 48493447.610324994 [(3, 9)]
forward add_edges KSP-4 0 50379491.369595006 [(8, 11)]
forward add_edges KSP-4 0 50698684.874129996 [(2, 4)]
forward add_edges KSP-4 0 45324989.419824995 [(2, 11)]
forward add_edges KSP-4 0 50140277.046045005 [(1, 5)]
forward add_edges KSP-4 0 46523168.02412502 [(1, 9)]
forward add_edges KSP-4 0 49467163.570425 [(3, 10)]
forward add_edges KSP-4 0 50698684.874129996 [(2, 6)]
forward add_edges KSP-4 0 45324989.419825 [(5, 9)]
forward add_edges KSP-4 0 50121725.724824995 [(7, 9)]
forward add_edges KSP-4 0 50140277.046045005 [(9, 12)]
forward add_edges KSP-4 0 50140277.046045005 [(3, 8)]
forward add_edges KSP-4 0 49467163.57042501 [(4, 10)]
forward add_edges KSP-4 0 45324989.419824995 [(5, 10)]
forward add_edges KSP-4 0 49467163.57042501 [(4, 11)]
forward add_edges KSP-4 0 50140277.046045 [(1, 6)]
forward add_edges KSP-4 0 50379491.36959499 [(5, 8)]
forward add_edges KSP-4 0 50698684.87412998 [(2, 3)]
forward add_edges KSP-4 0 49420277.04604499 []
forward add_edges KSP-4 0 50140277.046045005 [(1, 4)]
forward add_edges KSP-4 0 49467163.570425004 [(6, 11)]
forward add_edges KSP-4 0 50121725.724824995 [(4, 9)]
forward add_edges KSP-4 0 50121725.72482501 [(6, 9)]
forward add_edges KSP-4 0 35037426.907974996 [(8, 12)]
forward add_edges KSP-4 0 49467163.57042501 [(6, 10)]
forward add_edges KSP-4 0 30876701.436155 [(5, 12)]
forward add_edges KSP-4 0 50121725.724825 [(8, 9)]
forward add_edges KSP-4 0 35037426.90797501 [(7, 12)]
forward add_edges KSP-4 0 50739491.369595006 [(3, 11)]
forward add_edges KSP-4 0 45324989.419825 [(2, 10)]
forward add_edges KSP-4 0 50140277.046045005 [(3, 7)]
forward add_edges KSP-4 0 50205286.229985 [(7, 10)]
forward add_edges KSP-4 0 45324989.419824995 [(5, 11)]
forward add_edges KSP-4 0 51257620.69828499 [(1, 7)]
forward add_edges KSP-4 0 48524667.77064 [(4, 12)]
forward add_edges KSP-4 0 50140277.046045005 [(4, 6)]
forward add_edges KSP-4 0 45324989.419825 [(1, 10)]
forward add_edges KSP-4 0 56483231.768455 [(2, 7)]
forward add_edges KSP-4 0 30876701.436155 [(3, 12)]
forward add_edges KSP-4 0 50140277.04604499 [(3, 5)]
forward add_edges KSP-4 0 31247614.852654994 [(2, 12)]
forward add_edges KSP-4 0 50205286.229985 [(5, 7)]
forward add_edges KSP-4 0 36280760.60919 [(6, 12)]
forward add_edges KSP-4 0 51431825.837895 [(1, 8)]
forward add_edges KSP-4 0 51042215.44682999 [(2, 8)]
forward add_edges KSP-4 0 46523168.024125 [(2, 9)]
forward add_edges KSP-4 0 45324989.419825 [(1, 11)]
forward add_edges KSP-4 0 31247614.852654994 [(1, 12)]
forward add_edges KSP-4 0 48493447.610324994 [(3, 9)]
forward add_edges KSP-4 0 50379491.369595006 [(8, 11)]
forward add_edges KSP-4 0 50698684.874129996 [(2, 4)]
forward add_edges KSP-4 0 45324989.419824995 [(2, 11)]
forward add_edges KSP-4 0 50140277.046045005 [(1, 5)]
forward add_edges KSP-4 0 46523168.024125 [(1, 9)]
forward add_edges KSP-4 0 49467163.570425 [(3, 10)]
forward add_edges KSP-4 0 50698684.874129996 [(2, 6)]
forward add_edges KSP-4 0 45324989.419825 [(5, 9)]
forward add_edges KSP-4 0 50121725.724824995 [(7, 9)]
forward add_edges KSP-4 0 50140277.046045005 [(9, 12)]
forward add_edges KSP-4 0 50140277.046045005 [(3, 8)]
forward add_edges KSP-4 0 49467163.57042501 [(4, 10)]
forward add_edges KSP-4 0 45324989.419824995 [(5, 10)]
forward add_edges KSP-4 0 49467163.57042501 [(4, 11)]
forward add_edges KSP-4 0 50140277.046045 [(1, 6)]
forward add_edges KSP-4 0 50379491.36959499 [(5, 8)]
forward add_edges KSP-4 0 50698684.87412998 [(2, 3)]
forward add_edges KSP-4 0 73275969.9973 []
forward add_edges KSP-4 0 75048304.46560001 [(1, 4)]
forward add_edges KSP-4 0 95635979.517775 [(6, 11)]
forward add_edges KSP-4 0 77652974.73189 [(4, 9)]
forward add_edges KSP-4 0 51711484.80489 [(6, 9)]
forward add_edges KSP-4 0 59547682.01362998 [(8, 12)]
forward add_edges KSP-4 0 90284413.04889499 [(6, 10)]
forward add_edges KSP-4 0 40931314.1765673 [(5, 12)]
forward add_edges KSP-4 0 73995969.99729998 [(8, 9)]
forward add_edges KSP-4 0 74470879.014205 [(7, 12)]
forward add_edges KSP-4 0 67309748.089785 [(3, 11)]
forward add_edges KSP-4 0 59072223.63238987 [(2, 10)]
forward add_edges KSP-4 0 80606495.27103998 [(3, 7)]
forward add_edges KSP-4 0 76256420.99644493 [(7, 10)]
forward add_edges KSP-4 0 69263095.47722001 [(5, 11)]
forward add_edges KSP-4 0 80213558.005395 [(1, 7)]
forward add_edges KSP-4 0 87922105.97701499 [(4, 12)]
forward add_edges KSP-4 0 80828749.93671 [(4, 6)]
forward add_edges KSP-4 0 73995969.99729997 [(1, 10)]
forward add_edges KSP-4 0 74325954.5296 [(2, 7)]
forward add_edges KSP-4 0 84515373.98346002 [(3, 12)]
forward add_edges KSP-4 0 73995969.9973 [(3, 5)]
forward add_edges KSP-4 0 62796598.81782501 [(2, 12)]
forward add_edges KSP-4 0 84883078.080195 [(5, 7)]
forward add_edges KSP-4 0 56358077.691975 [(6, 12)]
forward add_edges KSP-4 0 127615552.35477 [(1, 8)]
forward add_edges KSP-4 0 74152727.5498 [(2, 8)]
forward add_edges KSP-4 0 55943651.61745773 [(2, 9)]
forward add_edges KSP-4 0 73995969.9973 [(1, 11)]
forward add_edges KSP-4 0 60409241.30328583 [(1, 12)]
forward add_edges KSP-4 0 73995969.9973 [(3, 9)]
forward add_edges KSP-4 0 73904104.13703 [(8, 11)]
forward add_edges KSP-4 0 73809196.97709996 [(2, 4)]
forward add_edges KSP-4 0 55992585.99322999 [(2, 11)]
forward add_edges KSP-4 0 73995969.9972993 [(1, 5)]
forward add_edges KSP-4 0 81184269.29271904 [(1, 9)]
forward add_edges KSP-4 0 73995969.99730001 [(3, 10)]
forward add_edges KSP-4 0 74169196.9771 [(2, 6)]
forward add_edges KSP-4 0 52986882.69381972 [(5, 9)]
forward add_edges KSP-4 0 73995969.9973 [(7, 9)]
forward add_edges KSP-4 0 73995969.99730001 [(9, 12)]
forward add_edges KSP-4 0 81130822.45310998 [(3, 8)]
forward add_edges KSP-4 0 104646360.46172999 [(4, 10)]
forward add_edges KSP-4 0 56417228.92058 [(5, 10)]
forward add_edges KSP-4 0 95636427.53577001 [(4, 11)]
forward add_edges KSP-4 0 73995969.99730003 [(1, 6)]
forward add_edges KSP-4 0 89548955.31382997 [(5, 8)]
forward add_edges KSP-4 0 79793461.99208999 [(2, 3)]
forward add_edges KSP-4 0 73275969.99729997 []
forward add_edges KSP-4 0 75048304.46559997 [(1, 4)]
forward add_edges KSP-4 0 95635979.51777497 [(6, 11)]
forward add_edges KSP-4 0 77652974.73189001 [(4, 9)]
forward add_edges KSP-4 0 51711484.80489002 [(6, 9)]
forward add_edges KSP-4 0 59547682.01362999 [(8, 12)]
forward add_edges KSP-4 0 90284413.04889499 [(6, 10)]
forward add_edges KSP-4 0 40931314.17655066 [(5, 12)]
forward add_edges KSP-4 0 73995969.9973 [(8, 9)]
forward add_edges KSP-4 0 74470879.01420498 [(7, 12)]
forward add_edges KSP-4 0 67309748.089785 [(3, 11)]
forward add_edges KSP-4 0 56370227.327854946 [(2, 10)]
forward add_edges KSP-4 0 80606495.27103996 [(3, 7)]
forward add_edges KSP-4 0 74355969.99729998 [(7, 10)]
forward add_edges KSP-4 0 65033558.78507002 [(5, 11)]
forward add_edges KSP-4 0 80213558.00539501 [(1, 7)]
forward add_edges KSP-4 0 86128339.50747998 [(4, 12)]
forward add_edges KSP-4 0 80828749.93671001 [(4, 6)]
forward add_edges KSP-4 0 67542610.16674499 [(1, 10)]
forward add_edges KSP-4 0 74325954.52959998 [(2, 7)]
forward add_edges KSP-4 0 84515373.98346001 [(3, 12)]
forward add_edges KSP-4 0 73995969.9973 [(3, 5)]
forward add_edges KSP-4 0 62796598.81782501 [(2, 12)]
forward add_edges KSP-4 0 84883078.08019501 [(5, 7)]
forward add_edges KSP-4 0 56358077.691975 [(6, 12)]
forward add_edges KSP-4 0 127615552.35477 [(1, 8)]
forward add_edges KSP-4 0 74152727.54980001 [(2, 8)]
forward add_edges KSP-4 0 55943651.61746 [(2, 9)]
forward add_edges KSP-4 0 73995969.99729998 [(1, 11)]
forward add_edges KSP-4 0 60409241.30330963 [(1, 12)]
forward add_edges KSP-4 0 73995969.99729998 [(3, 9)]
forward add_edges KSP-4 0 73904104.1370299 [(8, 11)]
forward add_edges KSP-4 0 73809196.97709997 [(2, 4)]
forward add_edges KSP-4 0 45576769.69642 [(2, 11)]
forward add_edges KSP-4 0 73995969.9973 [(1, 5)]
forward add_edges KSP-4 0 81184269.29271999 [(1, 9)]
forward add_edges KSP-4 0 73995969.9973 [(3, 10)]
forward add_edges KSP-4 0 74169196.97709998 [(2, 6)]
forward add_edges KSP-4 0 46903354.97106501 [(5, 9)]
forward add_edges KSP-4 0 73995969.9973 [(7, 9)]
forward add_edges KSP-4 0 73995969.9973 [(9, 12)]
forward add_edges KSP-4 0 81130822.45310989 [(3, 8)]
forward add_edges KSP-4 0 101414594.95067999 [(4, 10)]
forward add_edges KSP-4 0 56417228.92057955 [(5, 10)]
forward add_edges KSP-4 0 95636427.53577001 [(4, 11)]
forward add_edges KSP-4 0 73995969.9973 [(1, 6)]
forward add_edges KSP-4 0 89548955.31382999 [(5, 8)]
forward add_edges KSP-4 0 79793461.99208999 [(2, 3)]
forward add_edges KSP-4 0 85084500.55353518 []
forward add_edges KSP-4 0 96597774.77511999 [(1, 4)]
forward add_edges KSP-4 0 53965091.505090006 [(6, 11)]
forward add_edges KSP-4 0 86841054.28898 [(4, 9)]
forward add_edges KSP-4 0 86760266.953715 [(6, 9)]
forward add_edges KSP-4 0 43470501.14361501 [(8, 12)]
forward add_edges KSP-4 0 54139296.6447 [(6, 10)]
forward add_edges KSP-4 0 46300525.270929985 [(5, 12)]
forward add_edges KSP-4 0 86778818.27493517 [(8, 9)]
forward add_edges KSP-4 0 43470501.143615 [(7, 12)]
forward add_edges KSP-4 0 102107134.90527 [(3, 11)]
forward add_edges KSP-4 0 46377323.888124995 [(2, 10)]
forward add_edges KSP-4 0 92564029.9576852 [(3, 7)]
forward add_edges KSP-4 0 54771405.949135 [(7, 10)]
forward add_edges KSP-4 0 60256390.424404986 [(5, 11)]
forward add_edges KSP-4 0 56114406.11798502 [(1, 7)]
forward add_edges KSP-4 0 57481788.252854995 [(4, 12)]
forward add_edges KSP-4 0 86052870.30051517 [(4, 6)]
forward add_edges KSP-4 0 96242866.75709018 [(1, 10)]
forward add_edges KSP-4 0 90053351.89916 [(2, 7)]
forward add_edges KSP-4 0 52011753.61742495 [(3, 12)]
forward add_edges KSP-4 0 86052870.300515 [(3, 5)]
forward add_edges KSP-4 0 56527265.592894986 [(2, 12)]
forward add_edges KSP-4 0 56134689.524855 [(5, 7)]
forward add_edges KSP-4 0 61044539.80221002 [(6, 12)]
forward add_edges KSP-4 0 103023449.0088496 [(1, 8)]
forward add_edges KSP-4 0 169265619.59881002 [(2, 8)]
forward add_edges KSP-4 0 47497485.745525 [(2, 9)]
forward add_edges KSP-4 0 72615855.25569 [(1, 11)]
forward add_edges KSP-4 0 54566621.63735499 [(1, 12)]
forward add_edges KSP-4 0 87282093.877595 [(3, 9)]
forward add_edges KSP-4 0 85804500.55353501 [(8, 11)]
forward add_edges KSP-4 0 54771405.94913499 [(2, 4)]
forward add_edges KSP-4 0 58379667.00143501 [(2, 11)]
forward add_edges KSP-4 0 86052870.300515 [(1, 5)]
forward add_edges KSP-4 0 47658027.942475006 [(1, 9)]
forward add_edges KSP-4 0 54091418.53755 [(3, 10)]
forward add_edges KSP-4 0 54771405.949135005 [(2, 6)]
forward add_edges KSP-4 0 55840863.227359094 [(5, 9)]
forward add_edges KSP-4 0 inf [(7, 9)]
forward add_edges KSP-4 0 85804500.5535352 [(9, 12)]
forward add_edges KSP-4 0 92564029.95768517 [(3, 8)]
forward add_edges KSP-4 0 inf [(4, 10)]
forward add_edges KSP-4 0 60256390.42440493 [(5, 10)]
forward add_edges KSP-4 0 inf [(4, 11)]
forward add_edges KSP-4 0 95239834.89163019 [(1, 6)]
forward add_edges KSP-4 0 54771405.94913499 [(5, 8)]
forward add_edges KSP-4 0 86307054.62110999 [(2, 3)]
forward add_edges KSP-4 0 59516643.483059995 []
forward add_edges KSP-4 0 67308895.26314998 [(1, 4)]
forward add_edges KSP-4 0 53965091.505090006 [(6, 11)]
forward add_edges KSP-4 0 57396904.57486001 [(4, 9)]
forward add_edges KSP-4 0 51711484.804889955 [(6, 9)]
forward add_edges KSP-4 0 43470501.14361498 [(8, 12)]
forward add_edges KSP-4 0 54139296.644700006 [(6, 10)]
forward add_edges KSP-4 0 36921180.563334994 [(5, 12)]
forward add_edges KSP-4 0 61210961.204459995 [(8, 9)]
forward add_edges KSP-4 0 43470501.14361499 [(7, 12)]
forward add_edges KSP-4 0 54156427.72149 [(3, 11)]
forward add_edges KSP-4 0 46377323.888125 [(2, 10)]
forward add_edges KSP-4 0 69330220.90116002 [(3, 7)]
forward add_edges KSP-4 0 54771405.94913499 [(7, 10)]
forward add_edges KSP-4 0 55293272.45894001 [(5, 11)]
forward add_edges KSP-4 0 56114406.11798501 [(1, 7)]
forward add_edges KSP-4 0 57481788.25285496 [(4, 12)]
forward add_edges KSP-4 0 60236643.48306002 [(4, 6)]
forward add_edges KSP-4 0 68053027.33881 [(1, 10)]
forward add_edges KSP-4 0 56340497.96993499 [(2, 7)]
forward add_edges KSP-4 0 52011753.61742502 [(3, 12)]
forward add_edges KSP-4 0 60236643.48306 [(3, 5)]
forward add_edges KSP-4 0 46075180.647792496 [(2, 12)]
forward add_edges KSP-4 0 56134689.524854995 [(5, 7)]
forward add_edges KSP-4 0 41700683.320980005 [(6, 12)]
forward add_edges KSP-4 0 56667934.635235 [(1, 8)]
forward add_edges KSP-4 0 141813927.48191994 [(2, 8)]
forward add_edges KSP-4 0 47497485.74552501 [(2, 9)]
forward add_edges KSP-4 0 55637981.746865004 [(1, 11)]
forward add_edges KSP-4 0 54566621.63735497 [(1, 12)]
forward add_edges KSP-4 0 52289052.900299996 [(3, 9)]
forward add_edges KSP-4 0 60236643.483060025 [(8, 11)]
forward add_edges KSP-4 0 54771405.94913502 [(2, 4)]
forward add_edges KSP-4 0 46940554.59974501 [(2, 11)]
forward add_edges KSP-4 0 60236643.48305998 [(1, 5)]
forward add_edges KSP-4 0 47658027.942475006 [(1, 9)]
forward add_edges KSP-4 0 54091418.53755 [(3, 10)]
forward add_edges KSP-4 0 54771405.949135005 [(2, 6)]
forward add_edges KSP-4 0 55840863.22736001 [(5, 9)]
forward add_edges KSP-4 0 inf [(7, 9)]
forward add_edges KSP-4 0 60236643.48306001 [(9, 12)]
forward add_edges KSP-4 0 63955334.28734999 [(3, 8)]
forward add_edges KSP-4 0 inf [(4, 10)]
forward add_edges KSP-4 0 55350305.98951998 [(5, 10)]
forward add_edges KSP-4 0 inf [(4, 11)]
forward add_edges KSP-4 0 68361229.73144999 [(1, 6)]
forward add_edges KSP-4 0 54771405.94913501 [(5, 8)]
forward add_edges KSP-4 0 54771405.94913501 [(2, 3)]
forward add_edges KSP-4 0 86870586.60931998 []
forward add_edges KSP-4 0 63003145.62520498 [(1, 4)]
forward add_edges KSP-4 0 64718344.38261 [(6, 11)]
forward add_edges KSP-4 0 73650099.39040501 [(4, 9)]
forward add_edges KSP-4 0 66269169.21092999 [(6, 9)]
forward add_edges KSP-4 0 78559632.60380518 [(8, 12)]
forward add_edges KSP-4 0 81127793.16287999 [(6, 10)]
forward add_edges KSP-4 0 34024084.614305004 [(5, 12)]
forward add_edges KSP-4 0 88782582.12080002 [(8, 9)]
forward add_edges KSP-4 0 49763458.327599995 [(7, 12)]
forward add_edges KSP-4 0 69346169.05801508 [(3, 11)]
forward add_edges KSP-4 0 48815509.869077496 [(2, 10)]
forward add_edges KSP-4 0 105145390.10317495 [(3, 7)]
forward add_edges KSP-4 0 58642504.69657499 [(7, 10)]
forward add_edges KSP-4 0 45324989.419824995 [(5, 11)]
forward add_edges KSP-4 0 121574117.83896011 [(1, 7)]
forward add_edges KSP-4 0 83271730.89556 [(4, 12)]
forward add_edges KSP-4 0 95948763.69182 [(4, 6)]
forward add_edges KSP-4 0 51758001.888865 [(1, 10)]
forward add_edges KSP-4 0 56483231.768455006 [(2, 7)]
forward add_edges KSP-4 0 56990815.499739975 [(3, 12)]
forward add_edges KSP-4 0 88123739.88452002 [(3, 5)]
forward add_edges KSP-4 0 41643948.86143458 [(2, 12)]
forward add_edges KSP-4 0 60423416.50326 [(5, 7)]
forward add_edges KSP-4 0 58809976.17400469 [(6, 12)]
forward add_edges KSP-4 0 70025984.37378 [(1, 8)]
forward add_edges KSP-4 0 53539765.666930005 [(2, 8)]
forward add_edges KSP-4 0 69406239.969585 [(2, 9)]
forward add_edges KSP-4 0 45615655.12037501 [(1, 11)]
forward add_edges KSP-4 0 41748712.364385 [(1, 12)]
forward add_edges KSP-4 0 67701049.00052992 [(3, 9)]
forward add_edges KSP-4 0 87549679.57418501 [(8, 11)]
forward add_edges KSP-4 0 58396703.56873498 [(2, 4)]
forward add_edges KSP-4 0 58660223.043705 [(2, 11)]
forward add_edges KSP-4 0 88109182.01076499 [(1, 5)]
forward add_edges KSP-4 0 48759524.56847492 [(1, 9)]
forward add_edges KSP-4 0 68842465.32643436 [(3, 10)]
forward add_edges KSP-4 0 60236643.48306001 [(2, 6)]
forward add_edges KSP-4 0 46299307.141225 [(5, 9)]
forward add_edges KSP-4 0 95154647.15002997 [(7, 9)]
forward add_edges KSP-4 0 87590586.60931998 [(9, 12)]
forward add_edges KSP-4 0 108513538.10146499 [(3, 8)]
forward add_edges KSP-4 0 81127793.16287994 [(4, 10)]
forward add_edges KSP-4 0 55573266.71441999 [(5, 10)]
forward add_edges KSP-4 0 69387306.7596272 [(4, 11)]
forward add_edges KSP-4 0 89363367.36685999 [(1, 6)]
forward add_edges KSP-4 0 54771405.94913501 [(5, 8)]
